epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,225.243,1.17024,1.28288,1.28893,0.94532,0.99976,0.9895,0.47565,1.56046,1.19712,1.45013,0.000613,0.000613,0.000613
45,230.16,1.1781,1.30058,1.28673,0.94532,0.99976,0.9895,0.47565,1.56046,1.19712,1.45013,0.000604,0.000604,0.000604
46,235.427,1.19835,1.27059,1.29371,0.98583,0.99007,0.995,0.49399,1.52377,1.22423,1.41578,0.000595,0.000595,0.000595
47,240.647,1.14372,1.11563,1.22749,0.98583,0.99007,0.995,0.49399,1.52377,1.22423,1.41578,0.000586,0.000586,0.000586
48,245.728,1.12527,1.17392,1.22209,0.96091,1,0.995,0.4873,1.56908,1.28199,1.40867,0.000577,0.000577,0.000577
49,250.65,1.17639,1.18289,1.23213,0.96966,1,0.995,0.50727,1.54803,1.24845,1.3751,0.000568,0.000568,0.000568
50,255.677,1.15547,1.22029,1.29735,0.96966,1,0.995,0.50727,1.54803,1.24845,1.3751,0.000559,0.000559,0.000559
51,260.973,1.10417,1.13213,1.20794,0.9633,0.99678,0.995,0.54583,1.49892,1.19451,1.33655,0.00055,0.00055,0.00055
52,265.954,1.09083,1.18994,1.2406,0.9633,0.99678,0.995,0.54583,1.49892,1.19451,1.33655,0.000541,0.000541,0.000541
53,271.008,1.21839,1.20632,1.25815,0.98847,0.99683,0.995,0.57566,1.41065,1.09744,1.28438,0.000532,0.000532,0.000532
54,275.971,1.13916,1.13386,1.27125,0.98847,0.99683,0.995,0.57566,1.41065,1.09744,1.28438,0.000523,0.000523,0.000523
55,280.919,1.29777,1.20808,1.36053,0.99261,1,0.995,0.60653,1.34987,1.06772,1.25623,0.000514,0.000514,0.000514
56,285.877,1.12076,1.15929,1.27368,0.99375,1,0.995,0.61501,1.31482,1.0148,1.25158,0.000505,0.000505,0.000505
