epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,153.546,1.12689,1.43879,1.19617,0.73525,0.8805,0.9213,0.60707,1.29335,1.40124,1.33452,0.000811,0.000811,0.000811
44,157.043,1.20862,1.56643,1.27179,0.73525,0.8805,0.9213,0.60707,1.29335,1.40124,1.33452,0.0008065,0.0008065,0.0008065
45,160.648,1.18712,1.37577,1.22428,0.68423,0.9762,0.93319,0.56975,1.36497,1.38811,1.34623,0.000802,0.000802,0.000802
46,164.199,1.10264,1.38198,1.21308,0.68423,0.9762,0.93319,0.56975,1.36497,1.38811,1.34623,0.0007975,0.0007975,0.0007975
47,167.954,1.25122,1.47982,1.31172,0.65202,0.95105,0.90476,0.58932,1.30126,1.34287,1.2846,0.000793,0.000793,0.000793
48,171.45,1.19191,1.32869,1.23421,0.65202,0.95105,0.90476,0.58932,1.30126,1.34287,1.2846,0.0007885,0.0007885,0.0007885
49,174.703,1.162,1.3555,1.22844,0.65202,0.95105,0.90476,0.58932,1.30126,1.34287,1.2846,0.000784,0.000784,0.000784
50,178.416,1.26634,1.46703,1.32925,0.69343,0.93693,0.92693,0.63215,1.25118,1.2526,1.24945,0.0007795,0.0007795,0.0007795
51,182.17,1.30837,1.44927,1.30606,0.69343,0.93693,0.92693,0.63215,1.25118,1.2526,1.24945,0.000775,0.000775,0.000775
52,186.01,1.23716,1.30426,1.22621,0.83449,0.89839,0.97583,0.66976,1.30247,1.24874,1.26995,0.0007705,0.0007705,0.0007705
53,189.783,1.30397,1.42569,1.33459,0.83449,0.89839,0.97583,0.66976,1.30247,1.24874,1.26995,0.000766,0.000766,0.000766
54,193.496,1.18098,1.28907,1.23192,0.74328,0.97384,0.96548,0.57322,1.53371,1.31391,1.39396,0.0007615,0.0007615,0.0007615
55,197.047,1.19526,1.20773,1.18192,0.74328,0.97384,0.96548,0.57322,1.53371,1.31391,1.39396,0.000757,0.000757,0.000757
56,200.652,1.24482,1.28603,1.26187,0.75179,0.96667,0.97881,0.62257,1.39752,1.30391,1.32079,0.0007525,0.0007525,0.0007525
57,204.87,1.24663,1.34442,1.26515,0.75179,0.96667,0.97881,0.62257,1.39752,1.30391,1.32079,0.000748,0.000748,0.000748
58,208.642,1.23279,1.32947,1.26277,0.75179,0.96667,0.97881,0.62257,1.39752,1.30391,1.32079,0.0007435,0.0007435,0.0007435
59,212.506,1.15596,1.33419,1.28431,0.75578,0.93333,0.95958,0.70079,1.18195,1.19965,1.22152,0.000739,0.000739,0.000739
60,216.323,1.22791,1.33273,1.2778,0.75578,0.93333,0.95958,0.70079,1.18195,1.19965,1.22152,0.0007345,0.0007345,0.0007345
61,220.163,1.14909,1.24188,1.25579,0.76628,0.94992,0.95373,0.70803,1.15246,1.21288,1.20801,0.00073,0.00073,0.00073
62,223.907,1.11498,1.28901,1.24019,0.76628,0.94992,0.95373,0.70803,1.15246,1.21288,1.20801,0.0007255,0.0007255,0.0007255
63,227.556,1.13463,1.32654,1.20276,0.76278,0.9759,0.96722,0.68596,1.25766,1.18687,1.24556,0.000721,0.000721,0.000721
64,230.918,1.14047,1.26036,1.22818,0.76278,0.9759,0.96722,0.68596,1.25766,1.18687,1.24556,0.0007165,0.0007165,0.0007165
65,234.367,1.12512,1.19713,1.24204,0.76278,0.9759,0.96722,0.68596,1.25766,1.18687,1.24556,0.000712,0.000712,0.000712
66,237.972,1.17663,1.18452,1.22514,0.81958,0.96224,0.98111,0.68287,1.2573,1.17109,1.26002,0.0007075,0.0007075,0.0007075
67,241.49,1.09983,1.14646,1.20782,0.81958,0.96224,0.98111,0.68287,1.2573,1.17109,1.26002,0.000703,0.000703,0.000703
68,245.032,1.08086,1.17047,1.18902,0.86742,0.95833,0.98111,0.7129,1.18753,1.12488,1.25203,0.0006985,0.0006985,0.0006985
69,248.605,1.15221,1.17333,1.22701,0.86742,0.95833,0.98111,0.7129,1.18753,1.12488,1.25203,0.000694,0.000694,0.000694
70,252.091,1.08438,1.26279,1.22711,0.82751,0.94371,0.98667,0.74953,1.1188,1.13026,1.22112,0.0006895,0.0006895,0.0006895
71,255.693,1.18778,1.29438,1.28879,0.82751,0.94371,0.98667,0.74953,1.1188,1.13026,1.22112,0.000685,0.000685,0.000685
72,259.376,1.17087,1.22686,1.25532,0.80793,0.89118,0.98667,0.73068,1.18366,1.2186,1.21719,0.0006805,0.0006805,0.0006805
73,263.057,1.0409,1.20972,1.23184,0.80793,0.89118,0.98667,0.73068,1.18366,1.2186,1.21719,0.000676,0.000676,0.000676
74,266.517,1.14227,1.25158,1.25998,0.80793,0.89118,0.98667,0.73068,1.18366,1.2186,1.21719,0.0006715,0.0006715,0.0006715
75,269.906,1.10108,1.10999,1.19909,0.88587,0.80579,0.995,0.65606,1.38554,1.33334,1.3262,0.000667,0.000667,0.000667
76,273.403,1.11398,1.28139,1.24049,0.88587,0.80579,0.995,0.65606,1.38554,1.33334,1.3262,0.0006625,0.0006625,0.0006625
77,277.057,1.10563,1.26198,1.21628,0.84502,0.97416,0.995,0.63029,1.39728,1.2102,1.32456,0.000658,0.000658,0.000658
78,280.543,1.01522,1.09829,1.16188,0.84502,0.97416,0.995,0.63029,1.39728,1.2102,1.32456,0.0006535,0.0006535,0.0006535
79,284.186,1.13086,1.20394,1.27947,0.81731,0.97324,0.995,0.67127,1.28173,1.0787,1.25096,0.000649,0.000649,0.000649
80,287.742,1.1524,1.15808,1.22964,0.81731,0.97324,0.995,0.67127,1.28173,1.0787,1.25096,0.0006445,0.0006445,0.0006445
81,291.062,1.07286,1.09116,1.18603,0.81731,0.97324,0.995,0.67127,1.28173,1.0787,1.25096,0.00064,0.00064,0.00064
82,294.417,1.03734,1.03947,1.2251,0.75248,0.97027,0.995,0.68851,1.20926,1.13566,1.21549,0.0006355,0.0006355,0.0006355
83,297.887,1.11589,1.111,1.17671,0.75248,0.97027,0.995,0.68851,1.20926,1.13566,1.21549,0.000631,0.000631,0.000631
84,301.305,1.1968,1.18278,1.25511,0.75378,1,0.995,0.69491,1.20017,1.11926,1.21855,0.0006265,0.0006265,0.0006265
